"H200","esplosivo instabile","0"
"H201","esplosivo; pericolo di esplosione di massa","0"
"H202","esplosivo; grave pericolo di proiezioni","0"
"H203","esplosivo; pericolo di incendio, di spostamento d'aria o di proiezione","0"
"H204","pericolo di incendio o di proiezione","0"
"H205","pericolo di esplosione di massa in caso di incendio","0"
"H220","gas altamente infiammabile","0"
"H221","gas infiammabile","0"
"H222","aerosol altamente infiammabile","0"
"H223","aerosol infiammabile","0"
"H224","liquido e vapori altamente infiammabili","0"
"H225","liquido e vapori facilmente infiammabili","0"
"H226","liquido e vapori infiammabili","0"
"H228","solido infiammabile","0"
"H240","rischio di esplosione per riscaldamento","0"
"H241","rischio di incendio o di esplosione per riscaldamento","0"
"H242","rischio di incendio per riscaldamento","0"
"H250","spontaneamente infiammabile all'aria","0"
"H251","autoriscaldante; può infiammarsi","0"
"H252","autoriscaldante in grandi quantità; può infiammarsi","0"
"H260","a contatto con l'acqua libera gas infiammabili che possono infiammarsi spontaneamente","0"
"H261","a contatto con l'acqua libera gas infiammabili","0"
"H270","può provocare o aggravare un incendio; comburente","0"
"H271","può provocare un incendio o un esplosione; molto comburente","0"
"H272","può aggravare un incendio; comburente","0"
"H280","contiene gas sotto pressione; può esplodere se riscaldato","2"
"H281","può provocare ustioni o lesioni criogeniche","1.6"
"H290","può essere corrosivo per i metalli","0"
"H300","letale se ingerito","3"
"H301","tossico se ingerito","2,5"
"H302","nocivo se ingerito","2"
"H304","può essere letale in caso di ingestione e di penetrazione nelle vie respiratorie","3"
"H310","letale per contatto con la pelle","3"
"H311","tossico per contatto con la pelle","2.5"
"H312","nocivo per conttatto con la pelle","2"
"H314","provoca gravi ustioni cutanee e gravi lesioni oculari","1.6"
"H315","provoca irritazione cutanea","1.2"
"H317","può provocare una reazione allergica cutanea","1.2"
"H318","provoca gravi lesioni oculari","1.6"
"H319","provoca grave irritazione oculare","1.2"
"H330","letale se inalato","3"
"H331","tossico se inalato","2.5"
"H332","nocivo se inalato","2"
"H334","può provocare sintomi allergici o asmatici o difficoltà respiratorie se inalato","2"
"H335","può irritare le vie respiratorie","1.2"
"H336","può provocare sonnolenza o vertigini","1.6"
"H340","può provocare alterazioni genetiche <indicare la via di esposizione se è accertato che nessun altra via di esposizione comporta il medesimo pericolo>","2.5"
"H341","sospetto di provocare alterazioni genetiche <indicare la via di esposizione se è accertato che nessun altra via di esposizione comporta il medesimo pericolo>","2.5"
"H350","può provocare il cancro <indicare la via di esposizione se è accertato che nessun altra via di esposizione comporta il medesimo pericolo>","2.5"
"H351","sospettato di provocare il cancro <indicare la via di esposizione se è accertato che nessun altra via di esposizione comporta il medesimo pericolo>","2.5"
"H360","può nuocere alla fertilità o al feto <indicare l'effetto specifico se noto> <indicare la via di esposizione se è accertato che nessun altra via di esposizione comporta il medesimo pericolo>","2"
"H361","sospettato di nuocere alla fertilità o al feto <indicare l'effetto specifico se noto> <indicare la via di esposizione se è accertato che nessun altra via di esposizione comporta il medesimo pericolo>","2"
"H362","può essere nocivo per i lattanti allattati al seno","1.6"
"H370","provoca danni agli organi <o indicare tutti gli organi interessati, se noti><indicare la via di esposizione se è accertato che nessun altra via di esposizione comporta il medesimo pericolo>","2"
"H371","può provocare danni agli organi <o indicare tutti gli organi interessati, se noti><indicare la via di esposizione se è accertato che nessun altra via di esposizione comporta il medesimo pericolo>","1.6"
"H372","provoca danni agli organi<o indicare tutti gli organi interessati, se noti>in caso di esposizione prolungata o ripetuta<indicare la via di esposizione se è accertato che nessun altra via di esposizione comporta il medesimo pericolo>","1.6"
"H373","può provocare danni agli organi<o indicare tutti gli organi interessati, se noti>in caso di esposizione prolungata o ripetuta<indicare la via di esposizione se è accertato che nessun altra via di esposizione comporta il medesimo pericolo>","1.6"
"H400","molto tossico per gli organismi acquatici","0"
"H410","molto tossico per gli organismi acquatici con effetti di lunga durata","0"
"H411","tossico per gli organismi acquatici con effetti di lunga durata","0"
"H412","nocivo per gli organismi acquatici con effetti di lunga durata","0"
"H413","può essere nocivo per gli organismi acquatici con effetti di lunga durata","0"
"EUH001","esplosivo allo stato secco","0"
"EUH006","esplosivo a contatto o senza contatto con l'aria","0"
"EUH014","reagisce violentemente con l'acqua","0"
"EUH018","durante l'uso può formarsi una miscela vapore aria esplosiva/infiammabile","0"
"EUH019","può formare perossidi esplosivi","0"
"EUH044","rischio di esplosione per riscaldamento in ambiente confinato","0"
"EUH029","a contatto con l'acqua libera un gas tossico","2"
"EUH031","a contatto con acidi libera gas tossici","2"
"EUH032","a contatto con acidi libera gas molto tossici","2.5"
"EUH066","l'esposizione ripetuta può provocare secchezza o screpolature della pelle","1.2"
"EUH070","tossico per contatto oculare","2"
"EUH071","corrosivo per le vie respiratorie","2"
"EUH059","pericoloso per lo strato di ozono","0"
"EUH201","Contiene piombo. Non utilizzare su oggetti che possono essere masticati o succhiati dai bambini. Attenzione! Contiene piombo","2"
"EUH202","Cianoacrilato. Pericolo. Incolla la pelle e gli occhi in pochi secondi. Tenere fuori dalla portata dei bambini","1.6"
"EUH203","Contiene Cromo(VI). Può provocare una reazione allergica","1.6"
"EUH204","Contiene isocianati.Può provocare una reazione allergica","1.6"
"EUH205","Contiene componenti epossidici. Può provocare una reazione allergica","1.6"
"EUH206","Attenzione! Non utilizzare in combinazione con altri prodotti. Possono liberarsi gas pericolosi (Cloro)","2.5"
"EUH207","Attenzione! Contiene Cadmio. Durante l'uso si sviluppano fumi pericolosi. Leggere le informazioni fornite dal fabbricante. Rispettare le disposizioni di sicurezza","1.6"
"EUH208","Contiene <denominazione della sostanza sensibilizzante>. Può provocare una reazione allergica","1.6"
"EUH209/209A","può diventare facilmente infiammabile durante l'uso. può diventare infiammabile durante l'uso ","1.6"

 
