"R1","Esplosivo allo stato secco","0"
"R2","Rischio di esplosione per urto, sfregamento, fuoco o altre sorgenti d'ignizione","0"
"R3","Elevato rischio di esplosione per urto, sfregamento, fuoco o altre sorgenti di ignizione","0"
"R4","Forma composti metallici esplosivi molto sensibili","0"
"R5","Pericolo di esplosione per riscaldamento","0"
"R6","Esplosivo a contatto o senza contatto con l'aria","0"
"R7","Puo' provocare un incendio","0"
"R8","puo' provocare l'accensione di materie combustibili","0"
"R9","Esplosivo in miscela con miscele combustibili","0"
"R10","Incendiabile","0"
"R11","Facilmente infiammabile","0"
"R12","Estremamente infiammabile","0"
"R13","Gas che a temperatura e pressione ambiente si infiammano con l'aria","0"
"R14","Reagisce violentemente con l'acqua","0"
"R15","A contatto con l'acqua libera gas estremamente infiammabili","0"
"R16","Pericolo di esplosione se mescolato con sostanze comburenti","0"
"R17","Spontaneamente incendiabile all'aria","0"
"R18","Durante l'uso puo' formare con aria miscele esplosive/infiammabili","0"
"R19","Puo' formare perossidi esplosivi","0"
"R20","Nocivo per inalazione","1.6"
"R21","Nocivo per contatto con la pelle","1.6"
"R22","Nocivo per ingestione","1.6"
"R23","Tossico per inalazione","2"
"R24","Tossico a contatto con la pelle","2"
"R25","Tossico per ingestione","2"
"R26","Molto tossico per inalazione","2.5"
"R27","Molto tossico a contatto con la pelle","2.5"
"R28","Molto tossico per ingestione","2.6"
"R29","A contatto con l'acqua libera gas tossici","2"
"R30","Puo' divenire facilmente infiammabile durante l'uso","0"
"R31","A contatto con acidi libera gas tossico","2"
"R32","A contatto con acidi libera gas altamente tossico","2.5"
"R33","Pericolo di effetti cumulativi","2"
"R34","Provoca ustioni","1.6"
"R35","Provoca gravi ustioni"","1.6"
"R36","Irritante per gli occhi","1.2"
"R37","Irritante per le vie respiratorie","1.2"
"R38","Irritante per la pelle","1.2"
"R39","Pericolo di effetti irreversibili molto gravi","2.5"
"R40","Possibilita' di effetti irreversibili","2.5"
"R41","Rischio di gravi lesioni oculari","1.2"
"R42","Puo' provocare sensibilizzazione per inalazione","1.2"
"R43","Puo' provocare sensibilizzazione per contatto con la pelle","1.2"
"R44","Rischio di esplosione per riscaldamento in ambiente confinato","2.5"
"R45","Puo' provocare il cancro","2.5"
"R46","Puo' provocare alterazioni genetiche ereditarie","2.5"
"R48","Pericolo di gravi danni alla salute in caso di esposizione prolungata","1.6"
"R49","Puo' provocare il cancro per inalazione","2.5"
"R50","Altamente tossico per gli organismi acquatici","0"
"R51","Tossico per gli organismi acquatici","0"
"R52","Nocivo per gli organismi acquatici","0"
"R53","Puo' provocare a lungo termine effetti negativi per l'ambiente acquatico","0"
"R54","Tossico per la flora","0"
"R55","Tossico per la fauna","0"
"R56","Tossico per gli organismi del terreno","0"
"R57","tossico per le api","0"
"R58","Puo' provocare a lungo termine effetti negativi per l'ambiente","0"
"R59","Pericoloso per lo strato di ozono","0"
"R60","Puo' ridurre la fertilita'","2"
"R61","Puo' danneggiare i bambini non ancora nati","2"
"R62","Possibile rischio di ridotta fertilita'","1.6"
"R63","Possibile rischio di danni ai bambini non ancora nati","1.6"
"R64","Possibile rischio per i bambini allattati al seno","1.6"
"R65","Puo' causare danni polmonari se ingerito","1.6"
